"Object Designation","Year Range","Potential Impacts","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"101955 Bennu (1999 RQ36)","2178-2290","157","5.7e-4","5.99","20.6","0.490","-1.41","-1.59","","a0101955"
"29075 (1950 DA)","2880-2880","1","2.9e-5","14.10","17.9","1.300","-2.05","-2.05","","a0029075"
"(2007 FT3)","2024-2119","89","8.6e-7","17.07","20.0","0.341","-2.63","-2.79","0","bK07F03T"
"(1979 XB)","2056-2113","4","8.5e-7","23.76","18.5","0.660","-2.71","-3.01","0","bJ79X00B"
"(2000 SG344)","2069-2122","300","2.7e-3","1.36","24.8","0.037","-2.78","-3.13","0","bK00SY4G"
"(2008 JL3)","2027-2122","44","1.7e-4","8.42","25.3","0.029","-2.98","-2.99","0","bK08J03L"
"(2010 RF12)","2095-2122","70","1.0e-1","5.10","28.4","0.007","-2.98","-2.98","0","bK10R12F"
"(2024 BY15)","2070-2124","733","1.5e-2","NaN","26.7","0.016","-2.99","-3.25","0","bK24B15Y"
"(2022 PX1)","2040-2040","1","3.2e-6","35.11","22.3","0.120","-3.15","-3.15","0","bK22P01X"
"(2005 QK76)","2030-2059","6","7.1e-5","19.67","25.2","0.031","-3.25","-3.36","0","bK05Q76K"
"(2022 YO1)","2024-2044","5","2.3e-3","14.42","30.0","0.003","-3.26","-3.26","0","bK22Y01O"
"(2021 GX9)","2032-2052","2","8.2e-5","16.79","25.3","0.029","-3.36","-3.36","0","bK21G09X"
"(2015 JJ)","2111-2111","1","2.1e-5","10.70","22.1","0.130","-3.56","-3.56","0","bK15J00J"
"(2023 DO)","2057-2092","25","4.5e-4","6.97","25.6","0.026","-3.60","-3.61","0","bK23D00O"
"(2008 UB7)","2044-2101","50","3.4e-5","18.53","23.8","0.058","-3.63","-4.26","0","bK08U07B"
"(2019 VB37)","2049-2067","5","5.7e-5","14.55","24.5","0.043","-3.64","-3.65","0","bK19V37B"
"(2007 DX40)","2035-2122","93","7.8e-5","15.52","24.6","0.040","-3.67","-4.05","0","bK07D40X"
"(2016 YM4)","2121-2121","1","1.3e-5","18.98","22.4","0.110","-3.69","-3.69","0","bK16Y04M"
"(2000 SB45)","2067-2118","194","1.6e-4","7.53","24.3","0.046","-3.73","-4.20","0","bK00S45B"
"(2012 QD8)","2047-2120","16","6.1e-6","20.76","23.1","0.081","-3.75","-3.83","0","bK12Q08D"
"(2008 EX5)","2056-2093","28","5.3e-5","9.92","23.8","0.059","-3.79","-4.06","0","bK08E05X"
"(2020 VW)","2074-2079","12","7.0e-3","9.69","28.3","0.007","-3.83","-4.11","0","bK20V00W"
"(2017 WT28)","2083-2121","113","1.2e-2","4.47","28.1","0.008","-3.84","-3.86","0","bK17W28T"
"(2020 VV)","2044-2122","424","2.3e-3","2.58","27.3","0.012","-3.84","-4.33","0","bK20V00V"
"(2012 HG2)","2052-2122","689","2.0e-3","3.32","27.0","0.014","-3.85","-4.28","0","bK12H02G"
"(2013 VW13)","2063-2095","14","4.4e-4","16.35","26.2","0.019","-3.87","-4.04","0","bK13V13W"
"(2023 VD3)","2034-2098","4","1.7e-4","17.78","27.0","0.013","-3.92","-3.92","0","bK23V03D"
"(2006 DM63)","2031-2122","46","1.4e-4","10.37","26.7","0.015","-4.01","-4.26","0","bK06D63M"
"(2020 OB)","2114-2122","9","1.7e-5","25.44","23.7","0.062","-4.03","-4.28","0","bK20O00B"
"(2021 EU)","2056-2123","6","5.5e-5","21.22","25.4","0.028","-4.04","-4.09","0","bK21E00U"
"(2008 CC71)","2034-2082","32","4.1e-5","8.05","24.9","0.036","-4.04","-4.35","0","bK08C71C"
"(2007 KE4)","2029-2096","3","2.0e-5","10.06","25.2","0.031","-4.06","-4.07","0","bK07K04E"
"(2009 BE)","2037-2122","90","3.6e-4","11.46","26.1","0.020","-4.07","-4.38","0","bK09B00E"
"(2015 YJ)","2042-2122","119","1.6e-3","16.35","28.3","0.007","-4.07","-4.31","0","bK15Y00J"
"(2013 TP4)","2026-2026","1","3.5e-5","25.30","27.5","0.011","-4.08","-4.08","0","bK13T04P"
"(2024 CU)","2062-2123","65","8.5e-4","7.42","26.3","0.019","-4.09","-4.45","0","bK24C00U"
"(2023 TB2)","2102-2123","13","6.3e-5","6.86","23.8","0.058","-4.09","-4.20","0","bK23T02B"
"(2020 FA5)","2065-2110","3","6.6e-7","27.53","21.1","0.210","-4.10","-4.17","0","bK20F05A"
"(2014 GN1)","2061-2065","2","2.1e-5","21.23","24.6","0.041","-4.10","-4.10","0","bK14G01N"
"(2023 BZ)","2026-2026","1","3.8e-5","8.25","26.6","0.016","-4.10","-4.10","0","bK23B00Z"
"(2022 UY14)","2043-2043","1","2.1e-5","20.36","25.1","0.032","-4.10","-4.10","0","bK22U14Y"
"(2010 GM23)","2087-2122","61","8.1e-5","13.44","24.7","0.039","-4.11","-4.70","0","bK10G23M"
"(2020 KD3)","2083-2104","21","6.0e-4","7.93","26.4","0.017","-4.12","-4.13","0","bK20K03D"
"(2023 XC14)","2066-2075","3","1.9e-5","8.88","23.7","0.061","-4.13","-4.13","0","bK23X14C"
"(2010 CR5)","2062-2062","3","7.9e-8","23.87","19.8","0.370","-4.15","-4.17","0","bK10C05R"
"(2017 LD)","2053-2122","319","2.2e-3","4.49","27.5","0.011","-4.15","-4.72","0","bK17L00D"
"(2006 RH120)","2044-2122","108","1.3e-2","NaN","29.6","0.004","-4.16","-4.39","0","bK06RC0H"
"(2021 GE2)","2030-2030","1","7.3e-4","15.36","29.1","0.005","-4.16","-4.16","0","bK21G02E"
"(2006 JY26)","2073-2122","107","5.0e-3","2.98","28.4","0.007","-4.16","-4.17","0","bK06J26Y"
"(2020 MJ)","2083-2107","38","1.0e-4","17.06","25.3","0.030","-4.17","-4.37","0","bK20M00J"
"(2012 VE77)","2033-2035","2","4.6e-5","15.33","26.3","0.018","-4.18","-4.18","0","bK12V77E"
"(2021 AM6)","2064-2120","68","5.3e-4","5.21","26.6","0.016","-4.18","-4.52","0","bK21A06M"
"(2016 WG)","2076-2118","44","6.3e-6","23.60","23.3","0.075","-4.18","-4.93","0","bK16W00G"
"(2010 UK)","2068-2121","48","6.7e-4","6.08","26.9","0.014","-4.20","-4.21","0","bK10U00K"
"(1994 GK)","2050-2067","9","1.7e-5","14.88","24.2","0.048","-4.21","-4.23","0","bJ94G00K"
"(2019 LU1)","2056-2070","7","5.2e-6","31.80","24.2","0.048","-4.24","-4.27","0","bK19L01U"
"(2022 NX1)","2075-2121","50","3.2e-3","NaN","28.0","0.008","-4.25","-4.30","0","bK22N01X"
"(2008 HJ)","2077-2122","32","2.6e-4","7.53","25.8","0.024","-4.26","-4.72","0","bK08H00J"
"(2006 CM10)","2092-2092","1","1.0e-6","22.34","21.7","0.150","-4.27","-4.27","0","bK06C10M"
"(2011 DU9)","2041-2059","6","1.9e-4","8.77","26.7","0.016","-4.27","-4.28","0","bK11D09U"
"(2019 LW4)","2083-2117","36","1.0e-3","8.62","27.3","0.012","-4.27","-4.31","0","bK19L04W"
"(2002 RB182)","2036-2120","28","5.9e-6","13.57","22.8","0.092","-4.28","-4.95","0","bK02RI2B"
"(2018 DQ)","2027-2121","104","2.2e-4","20.85","29.1","0.005","-4.28","-4.30","0","bK18D00Q"
"(2014 JU15)","2071-2121","126","5.4e-5","10.35","24.7","0.039","-4.29","-5.06","0","bK14J15U"
"(2022 SX55)","2035-2058","5","4.0e-3","12.05","30.2","0.003","-4.29","-4.29","0","bK22S55X"
"(2022 YS6)","2065-2078","11","3.7e-4","10.04","26.8","0.015","-4.30","-4.31","0","bK22Y06S"
"(2011 BL45)","2050-2122","307","1.0e-3","1.68","27.1","0.013","-4.34","-4.54","0","bK11B45L"
"(2020 CQ1)","2070-2122","50","4.6e-3","4.90","28.8","0.006","-4.34","-4.35","0","bK20C01Q"
"(2018 TY4)","2033-2060","2","3.1e-4","10.67","28.1","0.008","-4.35","-4.35","0","bK18T04Y"
"(2022 KM4)","2075-2075","2","2.3e-7","24.97","20.9","0.220","-4.35","-4.57","0","bK22K04M"
"(2005 XA8)","2069-2090","38","9.4e-5","12.08","25.6","0.025","-4.36","-4.48","0","bK05X08A"
"(2011 EB74)","2032-2121","196","4.0e-4","7.53","26.9","0.014","-4.36","-5.23","0","bK11E74B"
"(2008 ST7)","2062-2112","26","2.7e-5","9.97","24.1","0.052","-4.37","-4.77","0","bK08S07T"
"(2012 BA77)","2025-2088","18","2.9e-5","12.72","25.9","0.023","-4.38","-4.68","0","bK12B77A"
"(2000 UK11)","2122-2122","2","1.2e-4","6.29","25.0","0.034","-4.39","-4.48","0","bK00U11K"
"(2008 EZ84)","2072-2122","16","1.9e-4","7.91","26.2","0.020","-4.40","-4.70","0","bK08E84Z"
"(2023 SN8)","2026-2123","6","8.6e-5","8.03","28.0","0.009","-4.41","-4.41","0","bK23S08N"
"(2010 VQ)","2087-2122","21","1.6e-3","4.63","27.7","0.010","-4.42","-4.46","0","bK10V00Q"
"(2018 JD)","2067-2114","19","2.6e-4","8.01","26.7","0.016","-4.45","-4.46","0","bK18J00D"
"(2010 QG2)","2051-2066","7","9.5e-6","12.89","24.4","0.044","-4.46","-4.48","0","bK10Q02G"
"(2022 OH2)","2087-2122","137","1.1e-3","3.62","27.4","0.011","-4.46","-4.73","0","bK22O02H"
"(2012 MF7)","2046-2104","19","1.6e-4","8.70","26.8","0.015","-4.47","-4.51","0","bK12M07F"
"(2007 KO4)","2030-2113","35","1.9e-6","13.78","23.3","0.076","-4.47","-5.05","0","bK07K04O"
"(2000 WJ107)","2110-2119","39","7.5e-6","12.77","23.1","0.081","-4.47","-4.81","0","bK00WA7J"
"(2002 MN)","2053-2122","20","9.5e-6","10.37","23.3","0.073","-4.48","-4.91","0","bK02M00N"
"(2016 RD34)","2051-2117","116","5.5e-4","1.13","27.4","0.011","-4.50","-4.81","0","bK16R34D"
"(2017 SF20)","2034-2061","4","3.4e-4","10.44","28.4","0.007","-4.51","-4.51","0","bK17S20F"
"(2013 GM3)","2028-2122","136","1.5e-4","7.14","26.2","0.019","-4.51","-5.28","0","bK13G03M"
"(2021 SU1)","2054-2120","43","2.0e-4","6.24","26.6","0.017","-4.52","-4.63","0","bK21S01U"
"(2021 TT1)","2048-2048","1","3.9e-5","17.12","26.2","0.019","-4.54","-4.54","0","bK21T01T"
"(2021 VM1)","2081-2102","18","8.3e-5","14.56","25.8","0.024","-4.55","-4.63","0","bK21V01M"
"(2020 XF)","2056-2122","528","3.9e-4","3.27","26.8","0.015","-4.56","-5.21","0","bK20X00F"
"(2015 XA378)","2092-2121","40","5.7e-5","17.90","25.6","0.026","-4.56","-4.81","0","bK15Xb8A"
"(2021 QY3)","2085-2119","81","1.0e-4","12.08","25.8","0.024","-4.60","-5.13","0","bK21Q03Y"
"(2023 XE3)","2053-2123","81","5.0e-4","2.01","27.5","0.011","-4.60","-4.68","0","bK23X03E"
"(2020 JK)","2063-2122","50","8.9e-6","18.64","24.1","0.052","-4.61","-5.47","0","bK20J00K"
"(2022 WW11)","2050-2065","6","9.0e-5","13.42","26.8","0.015","-4.61","-4.61","0","bK22W11W"
"(2007 WP3)","2098-2119","30","7.2e-6","13.03","23.5","0.067","-4.62","-4.91","0","bK07W03P"
"(2021 YW)","2093-2109","32","1.7e-5","24.96","25.0","0.033","-4.62","-5.09","0","bK21Y00W"
"(2016 AB166)","2102-2108","4","1.1e-5","21.59","24.4","0.044","-4.62","-4.64","0","bK16AG6B"
"(2018 GR4)","2058-2121","83","3.2e-4","2.60","27.1","0.013","-4.62","-4.67","0","bK18G04R"
"(2006 HF6)","2068-2112","25","1.0e-5","16.40","24.5","0.043","-4.62","-5.11","0","bK06H06F"
"(2014 CR13)","2102-2117","25","8.7e-5","12.29","25.7","0.024","-4.63","-4.74","0","bK14C13R"
"(2018 NW)","2046-2122","112","4.9e-4","21.14","27.8","0.009","-4.63","-5.27","0","bK18N00W"
"(2017 FO63)","2088-2108","3","2.1e-6","29.28","23.4","0.070","-4.64","-4.65","0","bK17F63O"
"(2016 DK1)","2043-2122","121","3.0e-4","6.87","27.4","0.011","-4.64","-5.05","0","bK16D01K"
"(2022 VE1)","2068-2118","15","1.2e-5","17.15","24.4","0.045","-4.65","-5.12","0","bK22V01E"
"(2014 YN)","2093-2121","52","1.5e-4","3.28","25.7","0.024","-4.65","-5.20","0","bK14Y00N"
"(2020 UE)","2042-2120","37","3.2e-5","14.58","25.5","0.027","-4.65","-5.10","0","bK20U00E"
"(2011 UM169)","2099-2108","24","3.1e-5","13.96","25.1","0.033","-4.66","-4.88","0","bK11UG9M"
"(2020 VN1)","2115-2122","2","1.7e-3","2.96","27.9","0.009","-4.67","-4.67","0","bK20V01N"
"(2011 SO189)","2056-2102","16","9.9e-5","12.99","26.5","0.017","-4.68","-5.04","0","bK11SI9O"
"(2014 WA201)","2074-2084","12","1.6e-4","11.57","26.8","0.015","-4.69","-4.70","0","bK14WK1A"
"(2007 HB15)","2050-2122","97","5.1e-4","6.34","27.8","0.010","-4.70","-4.88","0","bK07H15B"
"(2017 VL2)","2087-2121","109","1.3e-4","8.33","26.1","0.021","-4.70","-5.36","0","bK17V02L"
"(2013 HN158)","2053-2107","3","8.1e-6","9.13","24.5","0.043","-4.71","-4.71","0","bK13HF8N"
"(2016 EO28)","2035-2065","35","6.0e-4","6.98","29.1","0.005","-4.72","-4.74","0","bK16E28O"
"(2022 AT2)","2080-2080","1","2.6e-4","6.44","26.9","0.014","-4.73","-4.73","0","bK22A02T"
"(2020 DJ1)","2083-2118","41","2.5e-5","14.02","24.8","0.036","-4.73","-4.84","0","bK20D01J"
"(2020 DF3)","2065-2101","5","2.8e-6","26.80","24.2","0.050","-4.74","-4.96","0","bK20D03F"
"(2017 YM1)","2049-2110","20","3.1e-5","11.08","25.1","0.032","-4.74","-4.93","0","bK17Y01M"
"(2019 QR3)","2073-2089","21","2.3e-4","10.98","27.1","0.013","-4.74","-5.05","0","bK19Q03R"
"(2023 EB)","2053-2123","106","9.2e-5","7.40","26.2","0.020","-4.74","-5.24","0","bK23E00B"
"(2012 EK5)","2064-2111","19","3.5e-5","15.13","25.6","0.026","-4.75","-5.03","0","bK12E05K"
"(2011 OB26)","2089-2122","94","5.7e-5","10.99","25.5","0.027","-4.75","-5.25","0","bK11O26B"
"(2008 PK9)","2049-2065","3","5.6e-7","26.35","23.2","0.077","-4.77","-4.95","0","bK08P09K"
"(2010 KV7)","2034-2122","139","4.1e-5","5.37","26.0","0.021","-4.77","-5.07","0","bK10K07V"
"(2019 SJ)","2082-2123","21","5.7e-4","8.52","27.6","0.010","-4.78","-5.08","0","bK19S00J"
"(2011 XC2)","2056-2056","1","6.8e-7","20.75","23.0","0.085","-4.78","-4.78","0","bK11X02C"
"(2018 NJ)","2083-2122","29","6.6e-4","5.85","27.8","0.009","-4.80","-4.81","0","bK18N00J"
"(2023 SE2)","2049-2052","3","8.4e-6","24.69","25.7","0.024","-4.81","-4.96","0","bK23S02E"
"(2017 RV2)","2070-2122","62","1.4e-4","6.48","26.2","0.019","-4.82","-5.38","0","bK17R02V"
"(2011 VG9)","2104-2104","2","4.7e-7","24.87","22.2","0.120","-4.82","-4.99","0","bK11V09G"
"(2012 ES10)","2056-2064","6","1.2e-6","24.36","23.7","0.061","-4.83","-5.11","0","bK12E10S"
"(2010 JH110)","2071-2102","5","1.1e-4","8.07","26.3","0.019","-4.84","-4.98","0","bK10JB0H"
"(2020 TY4)","2099-2099","2","9.3e-6","8.37","24.0","0.054","-4.84","-4.85","0","bK20T04Y"
"(2005 ED224)","2030-2064","2","5.5e-7","26.01","23.9","0.057","-4.84","-4.97","0","bK05EM4D"
"(2019 WE)","2044-2080","9","7.5e-5","8.15","26.8","0.015","-4.84","-4.94","0","bK19W00E"
"(2008 YO2)","2052-2120","56","2.1e-5","16.47","25.2","0.031","-4.85","-5.42","0","bK08Y02O"
